gene_id	condition	log2fold_change	p_value	p_value_corrected	base_mean
102465457	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105371287	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105376892	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100288486	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
375323	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
101929440	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
55504	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
407031	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105376980	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105371024	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105369532	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
284365	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
9515	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
3081	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
6418	Experimental	-0.845332698613737	6.796488764952372e-07	0.00033626840920114733	9891.666666666668
105375336	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105379358	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105370834	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
151888	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
2046	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107984127	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
11105	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
692209	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100616270	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
342931	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105377119	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
25884	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
102466748	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105377095	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
101929151	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
5992	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105372997	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100306975	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
254827	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
101929989	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
347468	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105377541	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107985153	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105377730	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100506681	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
257358	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
449520	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
101928855	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107984711	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107984564	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105379183	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
729665	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
255809	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
222662	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105378450	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
677823	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
3593	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
1995	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100188995	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105378861	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105378516	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
406974	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100507506	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
127003	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
102467073	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
106635541	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105379066	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
574506	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
79626	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
641451	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
